spin_index,spin_result,streak_count,bet_amount,bet_on,outcome,profit,bankroll
0,Black,1,0,,No Bet,0,0
1,Red,1,0,,No Bet,0,0
2,Red,2,0,,No Bet,0,0
3,Green,0,0,,No Bet,0,0
4,Black,1,0,,No Bet,0,0
5,Red,1,0,,No Bet,0,0
6,Red,2,0,,No Bet,0,0
7,Black,1,0,,No Bet,0,0
8,Green,0,0,,No Bet,0,0
9,Black,1,0,,No Bet,0,0
10,Black,2,0,,No Bet,0,0
11,Black,3,0,,No Bet,0,0
12,Black,Betting,0,,No Bet,0,0
13,Red,1,10,,Win,10,10
14,Red,2,0,,No Bet,0,10
15,Red,3,0,,No Bet,0,10
16,Red,Betting,0,,No Bet,0,10
17,Red,Betting,10,Black,Loss,-10,0
18,Red,Betting,20,Black,Loss,-20,-20
19,Red,Betting,40,Black,Loss,-40,-60
20,Black,1,80,,Win,80,20
21,Black,2,0,,No Bet,0,20
22,Red,1,0,,No Bet,0,20
23,Red,2,0,,No Bet,0,20
24,Red,3,0,,No Bet,0,20
25,Red,Betting,0,,No Bet,0,20
26,Red,Betting,10,Black,Loss,-10,10
27,Black,1,20,,Win,20,30
28,Black,2,0,,No Bet,0,30
29,Black,3,0,,No Bet,0,30
30,Red,1,0,,No Bet,0,30
31,Black,1,0,,No Bet,0,30
32,Black,2,0,,No Bet,0,30
33,Black,3,0,,No Bet,0,30
34,Green,0,0,,No Bet,0,30
35,Green,0,0,,No Bet,0,30
36,Red,1,0,,No Bet,0,30
37,Red,2,0,,No Bet,0,30
38,Red,3,0,,No Bet,0,30
39,Red,Betting,0,,No Bet,0,30
40,Red,Betting,10,Black,Loss,-10,20
41,Black,1,20,,Win,20,40
42,Green,0,0,,No Bet,0,40
43,Black,1,0,,No Bet,0,40
44,Black,2,0,,No Bet,0,40
45,Red,1,0,,No Bet,0,40
46,Red,2,0,,No Bet,0,40
47,Black,1,0,,No Bet,0,40
48,Black,2,0,,No Bet,0,40
49,Black,3,0,,No Bet,0,40
50,Red,1,0,,No Bet,0,40
51,Black,1,0,,No Bet,0,40
52,Black,2,0,,No Bet,0,40
53,Black,3,0,,No Bet,0,40
54,Black,Betting,0,,No Bet,0,40
55,Red,1,10,,Win,10,50
56,Red,2,0,,No Bet,0,50
57,Black,1,0,,No Bet,0,50
58,Red,1,0,,No Bet,0,50
59,Black,1,0,,No Bet,0,50
60,Red,1,0,,No Bet,0,50
61,Black,1,0,,No Bet,0,50
62,Red,1,0,,No Bet,0,50
63,Red,2,0,,No Bet,0,50
64,Green,0,0,,No Bet,0,50
65,Black,1,0,,No Bet,0,50
66,Red,1,0,,No Bet,0,50
67,Red,2,0,,No Bet,0,50
68,Black,1,0,,No Bet,0,50
69,Red,1,0,,No Bet,0,50
70,Red,2,0,,No Bet,0,50
71,Red,3,0,,No Bet,0,50
72,Black,1,0,,No Bet,0,50
73,Green,0,0,,No Bet,0,50
74,Black,1,0,,No Bet,0,50
75,Black,2,0,,No Bet,0,50
76,Red,1,0,,No Bet,0,50
77,Black,1,0,,No Bet,0,50
78,Black,2,0,,No Bet,0,50
79,Black,3,0,,No Bet,0,50
80,Black,Betting,0,,No Bet,0,50
81,Red,1,10,,Win,10,60
82,Black,1,0,,No Bet,0,60
83,Red,1,0,,No Bet,0,60
84,Black,1,0,,No Bet,0,60
85,Red,1,0,,No Bet,0,60
86,Red,2,0,,No Bet,0,60
87,Black,1,0,,No Bet,0,60
88,Black,2,0,,No Bet,0,60
89,Black,3,0,,No Bet,0,60
90,Black,Betting,0,,No Bet,0,60
91,Red,1,10,,Win,10,70
92,Red,2,0,,No Bet,0,70
93,Red,3,0,,No Bet,0,70
94,Red,Betting,0,,No Bet,0,70
95,Black,1,10,,Win,10,80
96,Black,2,0,,No Bet,0,80
97,Red,1,0,,No Bet,0,80
98,Red,2,0,,No Bet,0,80
99,Black,1,0,,No Bet,0,80
100,Red,1,0,,No Bet,0,80
101,Red,2,0,,No Bet,0,80
102,Red,3,0,,No Bet,0,80
103,Black,1,0,,No Bet,0,80
104,Red,1,0,,No Bet,0,80
105,Black,1,0,,No Bet,0,80
106,Black,2,0,,No Bet,0,80
107,Black,3,0,,No Bet,0,80
108,Red,1,0,,No Bet,0,80
109,Red,2,0,,No Bet,0,80
110,Black,1,0,,No Bet,0,80
111,Black,2,0,,No Bet,0,80
112,Red,1,0,,No Bet,0,80
113,Red,2,0,,No Bet,0,80
114,Black,1,0,,No Bet,0,80
115,Black,2,0,,No Bet,0,80
116,Red,1,0,,No Bet,0,80
117,Red,2,0,,No Bet,0,80
118,Black,1,0,,No Bet,0,80
119,Black,2,0,,No Bet,0,80
120,Black,3,0,,No Bet,0,80
121,Black,Betting,0,,No Bet,0,80
122,Black,Betting,10,Red,Loss,-10,70
123,Green,Betting,20,Red,Loss,-20,50
124,Green,Betting,40,Red,Loss,-40,10
125,Red,1,80,,Win,80,90
126,Red,2,0,,No Bet,0,90
127,Black,1,0,,No Bet,0,90
128,Red,1,0,,No Bet,0,90
129,Red,2,0,,No Bet,0,90
130,Black,1,0,,No Bet,0,90
131,Black,2,0,,No Bet,0,90
132,Red,1,0,,No Bet,0,90
133,Red,2,0,,No Bet,0,90
134,Black,1,0,,No Bet,0,90
135,Black,2,0,,No Bet,0,90
136,Black,3,0,,No Bet,0,90
137,Red,1,0,,No Bet,0,90
138,Black,1,0,,No Bet,0,90
139,Red,1,0,,No Bet,0,90
140,Black,1,0,,No Bet,0,90
141,Black,2,0,,No Bet,0,90
142,Black,3,0,,No Bet,0,90
143,Red,1,0,,No Bet,0,90
144,Green,0,0,,No Bet,0,90
145,Black,1,0,,No Bet,0,90
146,Red,1,0,,No Bet,0,90
147,Black,1,0,,No Bet,0,90
148,Black,2,0,,No Bet,0,90
149,Black,3,0,,No Bet,0,90
150,Red,1,0,,No Bet,0,90
151,Black,1,0,,No Bet,0,90
152,Red,1,0,,No Bet,0,90
153,Black,1,0,,No Bet,0,90
154,Black,2,0,,No Bet,0,90
155,Black,3,0,,No Bet,0,90
156,Red,1,0,,No Bet,0,90
157,Red,2,0,,No Bet,0,90
158,Black,1,0,,No Bet,0,90
159,Red,1,0,,No Bet,0,90
160,Red,2,0,,No Bet,0,90
161,Black,1,0,,No Bet,0,90
162,Black,2,0,,No Bet,0,90
163,Red,1,0,,No Bet,0,90
164,Black,1,0,,No Bet,0,90
165,Black,2,0,,No Bet,0,90
166,Black,3,0,,No Bet,0,90
167,Black,Betting,0,,No Bet,0,90
168,Black,Betting,10,Red,Loss,-10,80
169,Black,Betting,20,Red,Loss,-20,60
170,Black,Betting,40,Red,Loss,-40,20
171,Black,Betting,80,Red,Loss,-80,-60
172,Black,Betting,160,Red,Loss,-160,-220
173,Black,Betting,320,Red,Loss,-320,-540
174,Black,Betting,640,Red,Bust,-640,-1180
175,Red,1,10,,Win,10,-1170
176,Black,1,0,,No Bet,0,-1170
177,Black,2,0,,No Bet,0,-1170
178,Red,1,0,,No Bet,0,-1170
179,Red,2,0,,No Bet,0,-1170
180,Black,1,0,,No Bet,0,-1170
181,Black,2,0,,No Bet,0,-1170
182,Black,3,0,,No Bet,0,-1170
183,Red,1,0,,No Bet,0,-1170
184,Black,1,0,,No Bet,0,-1170
185,Red,1,0,,No Bet,0,-1170
186,Black,1,0,,No Bet,0,-1170
187,Black,2,0,,No Bet,0,-1170
188,Black,3,0,,No Bet,0,-1170
189,Black,Betting,0,,No Bet,0,-1170
190,Red,1,10,,Win,10,-1160
191,Black,1,0,,No Bet,0,-1160
192,Red,1,0,,No Bet,0,-1160
193,Red,2,0,,No Bet,0,-1160
194,Red,3,0,,No Bet,0,-1160
195,Red,Betting,0,,No Bet,0,-1160
196,Black,1,10,,Win,10,-1150
197,Black,2,0,,No Bet,0,-1150
198,Black,3,0,,No Bet,0,-1150
199,Red,1,0,,No Bet,0,-1150
200,Black,1,0,,No Bet,0,-1150
201,Red,1,0,,No Bet,0,-1150
202,Black,1,0,,No Bet,0,-1150
203,Black,2,0,,No Bet,0,-1150
204,Green,0,0,,No Bet,0,-1150
205,Red,1,0,,No Bet,0,-1150
206,Black,1,0,,No Bet,0,-1150
207,Red,1,0,,No Bet,0,-1150
208,Black,1,0,,No Bet,0,-1150
209,Black,2,0,,No Bet,0,-1150
210,Red,1,0,,No Bet,0,-1150
211,Red,2,0,,No Bet,0,-1150
212,Red,3,0,,No Bet,0,-1150
213,Black,1,0,,No Bet,0,-1150
214,Black,2,0,,No Bet,0,-1150
215,Black,3,0,,No Bet,0,-1150
216,Black,Betting,0,,No Bet,0,-1150
217,Black,Betting,10,Red,Loss,-10,-1160
218,Red,1,20,,Win,20,-1140
219,Red,2,0,,No Bet,0,-1140
220,Red,3,0,,No Bet,0,-1140
221,Red,Betting,0,,No Bet,0,-1140
222,Red,Betting,10,Black,Loss,-10,-1150
223,Red,Betting,20,Black,Loss,-20,-1170
224,Red,Betting,40,Black,Loss,-40,-1210
225,Black,1,80,,Win,80,-1130
226,Red,1,0,,No Bet,0,-1130
227,Black,1,0,,No Bet,0,-1130
228,Black,2,0,,No Bet,0,-1130
229,Red,1,0,,No Bet,0,-1130
230,Black,1,0,,No Bet,0,-1130
231,Red,1,0,,No Bet,0,-1130
232,Black,1,0,,No Bet,0,-1130
233,Red,1,0,,No Bet,0,-1130
234,Red,2,0,,No Bet,0,-1130
235,Green,0,0,,No Bet,0,-1130
236,Black,1,0,,No Bet,0,-1130
237,Red,1,0,,No Bet,0,-1130
